ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2076,2076,030108,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,2390,1172,1218,0,190,420,265,653,649,213,0,758,1142,71,8,0,411,1,3,1,2,2383
ELECCIONES REGIONALES Y MUNICIPALES 2077,2077,010206,AMAZONAS,BAGUA,IMAZA,19511,10298,9213,0,2675,5370,2999,5060,3001,406,1,8397,8867,162,14,0,2070,15,5,18,23,19450
ELECCIONES REGIONALES Y MUNICIPALES 2078,2078,210314,SAN MARTIN,LAMAS,ZAPATERO,4602,2500,2102,0,365,1055,650,1312,1020,200,3,2361,1591,41,5,0,601,4,3,6,5,4584
ELECCIONES REGIONALES Y MUNICIPALES 2079,2079,060401,CAJAMARCA,CONTUMAZA,CONTUMAZA,5541,2800,2741,0,380,1129,711,1407,1477,437,0,2989,1675,380,40,3,454,3,9,3,5,5521
ELECCIONES REGIONALES Y MUNICIPALES 2080,2080,040307,AREQUIPA,CAMANA,QUILCA,823,477,346,0,32,133,119,249,256,34,0,171,561,43,14,0,34,1,2,0,0,820
ELECCIONES REGIONALES Y MUNICIPALES 2081,2081,170302,MOQUEGUA,ILO,EL ALGARROBAL,905,452,453,0,24,190,190,247,227,27,0,135,640,107,15,0,8,0,0,0,0,905
ELECCIONES REGIONALES Y MUNICIPALES 2082,2082,110709,JUNIN,SATIPO,VIZCATAN DEL ENE,1398,867,531,0,68,335,306,478,208,3,0,527,746,4,2,0,119,2,0,0,0,1396
ELECCIONES REGIONALES Y MUNICIPALES 2083,2083,120601,LA LIBERTAD,PATAZ,TAYABAMBA,9765,4742,5023,0,990,2329,1197,2441,2236,572,1,3595,3891,331,27,0,1920,2,1,3,0,9759
ELECCIONES REGIONALES Y MUNICIPALES 2084,2084,200109,PUNO,PUNO,PAUCARCOLLA,4008,1970,2038,0,276,736,458,985,1210,343,2,1155,2294,228,28,0,301,6,1,2,9,3990
ELECCIONES REGIONALES Y MUNICIPALES 2085,2085,030610,APURIMAC,GRAU,TURPAY,578,293,285,0,30,104,68,145,176,55,0,136,322,42,3,0,75,1,1,0,0,576
ELECCIONES REGIONALES Y MUNICIPALES 2086,2086,051101,AYACUCHO,SUCRE,QUEROBAMBA,1826,866,960,0,142,342,203,469,499,171,0,413,1055,116,19,0,223,8,1,2,2,1813
ELECCIONES REGIONALES Y MUNICIPALES 2087,2087,140608,LIMA,HUAROCHIRI,HUANZA,621,326,295,0,24,126,82,156,175,58,0,157,417,29,2,0,16,0,0,0,0,621
ELECCIONES REGIONALES Y MUNICIPALES 2088,2088,200102,PUNO,PUNO,ACORA,19065,9661,9404,0,1145,3479,1956,4816,5901,1768,1,4822,11005,686,144,0,2407,36,3,5,4,19017
ELECCIONES REGIONALES Y MUNICIPALES 2089,2089,140801,LIMA,HUARAL,HUARAL,82125,41539,40586,0,5502,18098,10882,23160,20651,3832,15,14806,57291,5311,1006,115,3581,170,138,30,98,81689
ELECCIONES REGIONALES Y MUNICIPALES 2090,2090,070913,CUSCO,LA CONVENCION,VILLA KINTIARINA,1222,637,585,0,97,309,181,394,218,23,0,447,554,7,1,0,213,0,0,0,0,1222
ELECCIONES REGIONALES Y MUNICIPALES 2091,2091,190103,PIURA,PIURA,CASTILLA,106580,51440,55140,0,7783,24024,14170,30533,25590,4480,31,19473,70807,12121,1184,69,2895,374,216,81,190,105719
ELECCIONES REGIONALES Y MUNICIPALES 2092,2092,201201,PUNO,EL COLLAO,ILAVE,37973,18677,19296,0,3170,8174,4549,9949,9875,2256,22,8391,22315,1585,304,0,5356,130,6,17,12,37808
ELECCIONES REGIONALES Y MUNICIPALES 2093,2093,190305,PIURA,HUANCABAMBA,SONDORILLO,7650,3735,3915,0,696,1912,1041,1818,1801,382,0,2885,2769,41,8,0,1947,4,1,1,9,7635
ELECCIONES REGIONALES Y MUNICIPALES 2094,2094,070905,CUSCO,LA CONVENCION,OCOBAMBA,4500,2489,2011,0,272,1007,633,1246,1177,165,0,1308,2528,90,25,0,549,7,3,0,6,4484
ELECCIONES REGIONALES Y MUNICIPALES 2095,2095,210501,SAN MARTIN,RIOJA,RIOJA,19565,10114,9451,0,1533,4374,2552,5354,4894,858,0,6076,11002,1104,124,8,1251,66,37,22,29,19411
ELECCIONES REGIONALES Y MUNICIPALES 2096,2096,090902,HUANUCO,HUACAYBAMBA,PINRA,4928,2396,2532,0,612,1079,554,1290,1129,264,0,1726,1957,44,5,0,1196,2,4,4,4,4914
ELECCIONES REGIONALES Y MUNICIPALES 2097,2097,210303,SAN MARTIN,LAMAS,BARRANQUITA,4502,2500,2002,0,406,931,624,1297,1075,169,0,2527,1571,27,2,0,375,3,4,3,2,4490
ELECCIONES REGIONALES Y MUNICIPALES 2098,2098,100408,ICA,PISCO,TUPAC AMARU INCA,10773,5255,5518,0,866,2657,1549,3114,2219,368,51,1932,7796,587,127,10,270,18,20,8,26,10701
