REGION,PROVINCE,DISTRICT,CAPITAL,POVERTY_INDICATOR,POPULATION,NUMBER_OF_PROVINCES,NUMBER_OF_DISTRICTS,NUMBER_OF_VOTERS,PROVINCE_ALDERMEN,PROVINCE_COUNCILMEN,DISTRICT_ALDERMEN,DISTRICT_COUNCILMEN
Departamento,Provincia,Distrito,Capital,Indicador de pobreza,Población,N° Provincias,N° Distritos,Electores,Alcaldes provinciales,Regidores provinciales,Alcaldes distritales,Regidores distritales
PUNO,LAMPA,LAMPA,LAMPA,POBRE NO EXTREMO,"10,181",0,1,"9,946",0,0,0,0
PUNO,LAMPA,CABANILLA,CABANILLA,POBRE NO EXTREMO,"5,335",0,1,"4,748",0,0,1,5
PUNO,LAMPA,CALAPUJA,CALAPUJA,POBRE NO EXTREMO,"1,501",0,1,"1,814",0,0,1,5
PUNO,LAMPA,NICASIO,NICASIO,POBRE NO EXTREMO,"2,693",0,1,"2,660",0,0,1,5
PUNO,LAMPA,OCUVIRI,OCUVIRI,POBRE EXTREMO,"3,295",0,1,"1,948",0,0,1,5
PUNO,LAMPA,PALCA,PALCA,POBRE NO EXTREMO,"2,837",0,1,"1,548",0,0,1,5
PUNO,LAMPA,PARATIA,PARATIA,POBRE NO EXTREMO,"9,986",0,1,"1,922",0,0,1,5
PUNO,LAMPA,PUCARA,PUCARA,POBRE NO EXTREMO,"5,069",0,1,"4,809",0,0,1,5
PUNO,LAMPA,SANTA LUCIA,SANTA LUCIA,POBRE NO EXTREMO,"7,579",0,1,"5,615",0,0,1,5
PUNO,LAMPA,VILAVILA,VILAVILA,POBRE EXTREMO,"4,557",0,1,896,0,0,1,5
PUNO,MELGAR,,AYAVIRI,,"78,120",1,8,"54,340",1,9,8,40
PUNO,MELGAR,AYAVIRI,AYAVIRI,NO POBRE,"22,342",0,1,"19,735",0,0,0,0
PUNO,MELGAR,ANTAUTA,ANTAUTA,POBRE EXTREMO,"4,353",0,1,"4,228",0,0,1,5
PUNO,MELGAR,CUPI,CUPI,POBRE NO EXTREMO,"3,597",0,1,"1,530",0,0,1,5
PUNO,MELGAR,LLALLI,LLALLI,POBRE NO EXTREMO,"5,080",0,1,"2,263",0,0,1,5
PUNO,MELGAR,MACARI,MACARI,POBRE EXTREMO,"8,772",0,1,"5,382",0,0,1,5
PUNO,MELGAR,NUÑOA,NUÑOA,POBRE EXTREMO,"11,000",0,1,"7,062",0,0,1,5
PUNO,MELGAR,ORURILLO,ORURILLO,POBRE EXTREMO,"10,961",0,1,"6,449",0,0,1,5
PUNO,MELGAR,SANTA ROSA,SANTA ROSA,POBRE EXTREMO,"7,513",0,1,"4,796",0,0,1,5
PUNO,MELGAR,UMACHIRI,UMACHIRI,POBRE NO EXTREMO,"4,502",0,1,"2,895",0,0,1,5
