Year,ZIP_Code,Cancer Group,Male Count,Female Count,Total_Count
2011-2015,60655,All Cancers Combined,344.00,430.00,774.00
2011-2015,60656,All Cancers Combined,383.00,401.00,784.00
2011-2015,60666,All Cancers Combined,383.00,401.00,784.00
2011-2015,60657,All Cancers Combined,489.00,615.00,1104.00
2011-2015,60659,All Cancers Combined,396.00,425.00,821.00
2011-2015,60660,All Cancers Combined,489.00,513.00,1002.00
2011-2015,60661,All Cancers Combined,41.00,61.00,102.00
2011-2015,60664,All Cancers Combined,0.00,2.00,2.00
2011-2015,60680,All Cancers Combined,16.00,18.00,34.00
2011-2015,60690,All Cancers Combined,16.00,9.00,25.00
2011-2015,60706,All Cancers Combined,367.00,400.00,767.00
2011-2015,60707,All Cancers Combined,545.00,626.00,1171.00
2011-2015,60712,All Cancers Combined,196.00,265.00,461.00
2011-2015,60714,All Cancers Combined,525.00,634.00,1159.00
2011-2015,60803,All Cancers Combined,275.00,311.00,586.00
2011-2015,60804,All Cancers Combined,524.00,593.00,1117.00
2011-2015,60805,All Cancers Combined,311.00,278.00,589.00
2011-2015,60827,All Cancers Combined,243.00,327.00,570.00
2011-2015,60901,All Cancers Combined,501.00,516.00,1017.00
2011-2015,60910,All Cancers Combined,7.00,6.00,13.00
2011-2015,60911,All Cancers Combined,24.00,25.00,49.00
2011-2015,60912,All Cancers Combined,11.00,8.00,19.00
2011-2015,60913,All Cancers Combined,29.00,21.00,50.00
2011-2015,60914,All Cancers Combined,322.00,349.00,671.00
2011-2015,60915,All Cancers Combined,155.00,155.00,310.00
2011-2015,60917,All Cancers Combined,11.00,6.00,17.00
2011-2015,60918,All Cancers Combined,11.00,12.00,23.00
2011-2015,60919,All Cancers Combined,11.00,5.00,16.00
2011-2015,60920,All Cancers Combined,4.00,7.00,11.00
2011-2015,60921,All Cancers Combined,24.00,26.00,50.00
2011-2015,60922,All Cancers Combined,28.00,33.00,61.00
2011-2015,60924,All Cancers Combined,27.00,30.00,57.00
2011-2015,60926,All Cancers Combined,1.00,2.00,3.00
2011-2015,60927,All Cancers Combined,43.00,30.00,73.00
2011-2015,60928,All Cancers Combined,10.00,17.00,27.00
2011-2015,60929,All Cancers Combined,15.00,7.00,22.00
2011-2015,60930,All Cancers Combined,11.00,14.00,25.00
2011-2015,60931,All Cancers Combined,2.00,9.00,11.00
2011-2015,60932,All Cancers Combined,2.00,1.00,3.00
2011-2015,60933,All Cancers Combined,4.00,10.00,14.00
2011-2015,60934,All Cancers Combined,5.00,3.00,8.00
2011-2015,60935,All Cancers Combined,15.00,14.00,29.00
2011-2015,60936,All Cancers Combined,63.00,95.00,158.00
2011-2015,60938,All Cancers Combined,32.00,41.00,73.00
2011-2015,60939,All Cancers Combined,1.00,0.00,1.00
2011-2015,60940,All Cancers Combined,59.00,43.00,102.00
2011-2015,60941,All Cancers Combined,28.00,30.00,58.00
2011-2015,60942,All Cancers Combined,104.00,125.00,229.00
2011-2015,60944,All Cancers Combined,7.00,3.00,10.00
2011-2015,60945,All Cancers Combined,5.00,4.00,9.00
2011-2015,60946,All Cancers Combined,7.00,11.00,18.00
2011-2015,60948,All Cancers Combined,24.00,21.00,45.00
2011-2015,60949,All Cancers Combined,16.00,9.00,25.00
2011-2015,60950,All Cancers Combined,234.00,188.00,422.00
2011-2015,60951,All Cancers Combined,20.00,8.00,28.00
2011-2015,60952,All Cancers Combined,12.00,8.00,20.00
2011-2015,60953,All Cancers Combined,46.00,39.00,85.00
2011-2015,60954,All Cancers Combined,115.00,109.00,224.00
2011-2015,60955,All Cancers Combined,33.00,28.00,61.00
2011-2015,60956,All Cancers Combined,2.00,3.00,5.00
2011-2015,60957,All Cancers Combined,79.00,90.00,169.00
2011-2015,60958,All Cancers Combined,35.00,30.00,65.00
2011-2015,60959,All Cancers Combined,13.00,20.00,33.00
2011-2015,60960,All Cancers Combined,18.00,17.00,35.00
2011-2015,60961,All Cancers Combined,18.00,20.00,38.00
2011-2015,60962,All Cancers Combined,12.00,19.00,31.00
2011-2015,60963,All Cancers Combined,28.00,25.00,53.00
2011-2015,60964,All Cancers Combined,88.00,110.00,198.00
2011-2015,60966,All Cancers Combined,38.00,31.00,69.00
2011-2015,60967,All Cancers Combined,0.00,1.00,1.00
2011-2015,60968,All Cancers Combined,15.00,5.00,20.00
2011-2015,60970,All Cancers Combined,121.00,147.00,268.00
2011-2015,60973,All Cancers Combined,8.00,7.00,15.00
2011-2015,60974,All Cancers Combined,5.00,1.00,6.00
2011-2015,61001,All Cancers Combined,33.00,26.00,59.00
2011-2015,61006,All Cancers Combined,22.00,39.00,61.00
2011-2015,61007,All Cancers Combined,6.00,7.00,13.00
2011-2015,61008,All Cancers Combined,412.00,444.00,856.00
2011-2015,61010,All Cancers Combined,102.00,125.00,227.00
2011-2015,61011,All Cancers Combined,45.00,36.00,81.00
2011-2015,61012,All Cancers Combined,25.00,23.00,48.00
2011-2015,61013,All Cancers Combined,10.00,13.00,23.00
2011-2015,61014,All Cancers Combined,17.00,20.00,37.00
2011-2015,61015,All Cancers Combined,13.00,14.00,27.00
